,PSZ,SURP,DATE,HQ,ENGNAME,RUSNAME,TYPE,NEWDEV,FUNC1,FUNC2,FUNC3,CAP,RUBLE,STCAP,SHARES,PRICE,STPRICE,BONDS,LOC2,LOC3,YEAR,MONTH,DAY,ID,NEWENT,PROP,MAN,STAFF,SALE,OWN,PAI,AKTS,NEWFIRM,EXISTFIRM,EXISTFIRMNEWFUNC,NOBONDS,BONDSOK,BONDSWLIMIT,NOPROPRES,LANDLIMIT,PERMNEEDED,LANDBAN,NOMANRES,MANRESTYPE,NOSTAFFRES,LIMTRAINING,NOSALERES,TOBEARER,NAMEDINFORMED,NAMEDINFOFF,NOOWNRES,OWNRIGHTS,NOFOROWN,CHRISOWN,CROPS,LIVESTOCK,AGSERVICES,FORESTRY,FISHING,AG,MINING,CONSTRUCTION,MANUFACTURING,TRANSPORTATION,WHOLESALE,RETAIL,FINANCE,SERVICES,PUBADMIN,NONCLASS,INDUSTRY,MANUFOODS,MANUTEXTILES,MANUWOOD,MANUPAPER,MANUCHEMICALS,MANUANIMAL,MANUMINERAL,MANUMETALS,MANUMISC,ManufacturingIndustry,FOODSFLOUR,FOODSBEETSUGAR,FOODSMALTBEVS,MOSCOW,STPETE,PROV,HQCODE,HQProvince,MOSCOWProv,HQRegion,LOC1,OPProvince,OPRegion
10,1-05687,999999,1731-01-27,[Archangel!,Evreinov Brothers Whaling Co.,[Ko. morskikh promyslov Evreinovykh!,9,9,919,,,,9,0,,,0,0.0,,,1731,1,27,11.0,0.0,0,0,0,0,0,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0101,Arkhalgelskaia,0.0,North,9014,.,North
11,1-06554,999999,1734-03-14,Moscow,Moscow Gold and Silver Thread Co.,[Kompaneiskii dom proizvodstva volochenogo i plashchenogo zolota i  serebra!,8,9,3356,,,30.0,9,0,10.0,3000.0,0,0.0,,,1734,3,14,12.0,0.0,0,0,0,0,0,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MANUMETALS,0.0,0.0,0.0,1.0,0.0,0.0,2401,Moskovskaia,1.0,Center,2401,Moskovskaia,Center
12,1-07060,999999,1736-09-18,[Moscow!,Moscow Woolen Textile Co. (1736) [cf. 3-15699!,[Ko. Moskovskoi sukonnoi fabriki!,9,1,2231,,,30.0,9,0,,,0,0.0,,,1736,9,18,13.0,1.0,0,0,0,0,0,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUTEXTILES,0.0,0.0,0.0,1.0,0.0,0.0,2401,Moskovskaia,1.0,Center,2401,Moskovskaia,Center
13,1-07767,999999,1739-03-03,TBST,Lapland and Verkhotur'e Mining Co. (copper),Gornaia ko. dlia razrabotki rud,9,9,3331,1021.0,,,9,0,,,0,0.0,3102.0,,1739,3,3,14.0,0.0,0,0,0,0,0,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MANUMETALS,0.0,0.0,0.0,0.0,0.0,1.0,.,.,0.0,.,0103,Arkhalgelskaia,North
14,1-08369,999999,1741-05-01,Oposhnia [Text:,: Opochnia!Oposhnia Gunpowder Co.,[Ko. porokhovogo zavoda v Oposhne!,1,1,2892,,,,9,0,,,0,0.0,,,1741,5,1,15.0,1.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MANUCHEMICALS,0.0,0.0,0.0,0.0,0.0,1.0,3303,Poltavskaia,0.0,South,.,.,.
15,1-08730,999999,1743-04-30,[Astrakhan!,Astrakhan Fishing Co.,[Astrakhanskaia ko. rybnykh promyslov!,1,2,912,,,,9,0,,,0,0.0,,,1743,4,30,16.0,0.0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0201,Astrakhanskaia,0.0,Volga-Ural,0201,Astrakhanskaia,Volga-Ural
16,1-09480,999999,1748-02-12,TBST,Kamchatka Fur Co.,[Ko. dlia lovli zverei bliz Kamchatskogo i Karaginskogo i           Oliutorovskogo ust'ev pustykh ozerov!,9,9,971,,,,9,0,,,0,0.0,,,1748,2,12,17.0,0.0,0,0,0,0,0,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,.,.,0.0,.,7606,Maritime Region,Siberia
17,1-09721,999999,1750-03-23,[Riga!,Baltic Marine Salvage Co.,Vodolaznaia ko. dlia spaseniia preterpevaiushchikh                  korablekrushenie,9,1,4469,,,,9,0,,,0,0.0,,,1750,3,23,18.0,1.0,0,0,0,0,0,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2101,Lifliandskaia,0.0,Baltic,9001,.,Baltic
18,1-10101,999999,1752-02-25,Astrakhan,Astrakhan Shipping Co.,Astrakhanskaia morskaia sudovaia ko.,9,9,4431,,,,9,0,,,0,0.0,,,1752,2,25,19.0,0.0,0,0,0,0,0,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0201,Astrakhanskaia,0.0,Volga-Ural,9004,.,Caucasus
19,1-10120,999999,1753-07-16,[St. Petersburg,g!         Gold and Silver Leaf Co.,Kompaneiskii dom susal'nogo zolota i serebra,8,1,3497,,,30.0,9,0,,,0,0.0,,,1753,7,16,20.0,1.0,0,0,0,0,0,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MANUMETALS,0.0,0.0,0.0,0.0,1.0,0.0,3701,Peterburgskaia,0.0,North,2401,Moskovskaia,Center
