,PSZ,SURP,DATE,HQ,ENGNAME,RUSNAME,TYPE,NEWDEV,FUNC1,FUNC2,FUNC3,CAP,RUBLE,STCAP,SHARES,PRICE,STPRICE,BONDS,LOC2,LOC3,YEAR,MONTH,DAY,ID,NEWENT,PROP,MAN,STAFF,SALE,OWN,PAI,AKTS,NEWFIRM,EXISTFIRM,EXISTFIRMNEWFUNC,NOBONDS,BONDSOK,BONDSWLIMIT,NOPROPRES,LANDLIMIT,PERMNEEDED,LANDBAN,NOMANRES,MANRESTYPE,NOSTAFFRES,LIMTRAINING,NOSALERES,TOBEARER,NAMEDINFORMED,NAMEDINFOFF,NOOWNRES,OWNRIGHTS,NOFOROWN,CHRISOWN,CROPS,LIVESTOCK,AGSERVICES,FORESTRY,FISHING,AG,MINING,CONSTRUCTION,MANUFACTURING,TRANSPORTATION,WHOLESALE,RETAIL,FINANCE,SERVICES,PUBADMIN,NONCLASS,INDUSTRY,MANUFOODS,MANUTEXTILES,MANUWOOD,MANUPAPER,MANUCHEMICALS,MANUANIMAL,MANUMINERAL,MANUMETALS,MANUMISC,ManufacturingIndustry,FOODSFLOUR,FOODSBEETSUGAR,FOODSMALTBEVS,MOSCOW,STPETE,PROV,HQCODE,HQProvince,MOSCOWProv,HQRegion,LOC1,OPProvince,OPRegion
721,2-54935,999999,1875-07-25,"Ezerna, Vasil'k",kov dist.  Ezerna Sugar Co.,Tov. Ezeranskogo sveklosakharnogo i rafinadnogo zavoda,4,2,2063,,,300.0,9,300,300.0,1000.0,1000,0.0,,,1875,7,25,722.0,0.0,1,0,0,5,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUFOODS,0.0,1.0,0.0,0.0,0.0,1.0,1603,Kievskaia,0.0,South,1603,Kievskaia,South
722,2-54984,999999,1875-08-08,"Chechel'nik, Ol","l'gopol' d.Chechelnik Sugar Co. [HQ SPb 1892, Kiev 1914!",Tov. Chechel'nitskogo sveklosakharnogo i rafinadnogo zavoda,1,1,2063,,,600.0,9,600,600.0,1000.0,1000,0.0,,,1875,8,8,723.0,1.0,1,0,0,2,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUFOODS,0.0,1.0,0.0,0.0,0.0,1.0,3209,Podolskaia,0.0,South,3209,Podolskaia,South
723,2-54985,999999,1875-08-08,"Charnomina, Ol'",'gopol' d. Charnomina Sugar Co.,Tov. Charnominskogo sveklosakharnogo i rafinadnogo zavoda,4,2,2063,,,600.0,9,600,600.0,1000.0,1000,0.0,,,1875,8,8,724.0,0.0,1,0,0,4,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUFOODS,0.0,1.0,0.0,0.0,0.0,1.0,3209,Podolskaia,0.0,South,3209,Podolskaia,South
724,2-54986,999999,1875-08-08,"Kolodnoe, Kreme",enets dist.Kolodnoe Sugar Co.,Tov. Kolodnianskogo sveklosakharnogo i rafinadnogo zavoda,4,1,2063,,,600.0,9,600,600.0,1000.0,1000,0.0,,,1875,8,8,725.0,1.0,1,0,0,4,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUFOODS,0.0,1.0,0.0,0.0,0.0,1.0,0806,Volynskaia,0.0,South,0806,Volynskaia,South
725,2-55000,999999,1875-08-15,St. Petersburg,Moss Alcohol Co.,Rossiiskoe ak. ob. vinokureniia iz mkha,1,1,2869,2085.0,,250.0,9,250,1000.0,250.0,250,0.0,,,1875,8,15,726.0,1.0,0,0,0,4,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MANUCHEMICALS,0.0,0.0,0.0,0.0,1.0,0.0,3701,Peterburgskaia,0.0,North,3701,Peterburgskaia,North
726,2-55022,999999,1875-08-25,"Borshchi, Balta",a district Borshchi Sugar Co.,"Tov. sveklosakharnogo i rafinadnogo zavoda ""Borshchi""",4,1,2063,,,400.0,9,400,400.0,1000.0,1000,0.0,,,1875,8,25,727.0,1.0,1,0,0,4,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUFOODS,0.0,1.0,0.0,0.0,0.0,1.0,3202,Podolskaia,0.0,South,3202,Podolskaia,South
727,2-55043,999999,1875-08-29,"Staro-Siniava,",Litin d.  Staro-Siniava Sugar Co.,Tov. Staro-Siniavskogo sakharnogo zavoda,3,2,2063,,,300.0,9,300,300.0,1000.0,1000,0.0,,,1875,8,29,728.0,0.0,1,0,0,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUFOODS,0.0,1.0,0.0,0.0,0.0,1.0,3207,Podolskaia,0.0,South,3207,Podolskaia,South
728,2-55084,999999,1875-09-18,St. Petersburg,Russian Safety Match Co.,Russkoe ak. ob. dlia proizvodstva bezopasnykh Shvedskikh spichek,4,1,3999,,,500.0,9,500,5000.0,100.0,100,0.0,,,1875,9,18,729.0,1.0,0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,MANUMISC,0.0,0.0,0.0,0.0,1.0,0.0,3701,Peterburgskaia,0.0,North,3701,Peterburgskaia,North
729,2-55085,999999,1875-09-18,Kharkov,Kharkov Sugar Co.,Tov. Khar'kovskogo sakharo-rafinadnogo zavoda,3,1,2063,,,800.0,9,800,1600.0,500.0,500,0.0,,,1875,9,18,730.0,1.0,0,0,0,4,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUFOODS,0.0,1.0,0.0,0.0,0.0,1.0,4601,Kharkovskaia,0.0,South,4601,Kharkovskaia,South
730,2-55109,999999,1875-10-02,Odessa,Konrat Salt Co.,Tov. Konratskikh solianykh promyslov,4,2,2899,,,600.0,9,600,1200.0,500.0,500,0.0,,,1875,10,2,731.0,0.0,0,0,0,2,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MANUCHEMICALS,0.0,0.0,0.0,0.0,0.0,1.0,4705,Khersonskaia,0.0,South,4109,Tavricheskaia,South
731,2-55110,999999,1875-10-02,Moscow,"Moscow Brewing Co. (1875) [cf. 2-52158, 3-03395!","Ob. pivo-medovarennogo zavoda ""Moskva""",1,2,2082,,,1000.0,9,1000,10000.0,100.0,100,0.0,,,1875,10,2,732.0,0.0,0,0,0,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUFOODS,0.0,0.0,1.0,1.0,0.0,0.0,2401,Moskovskaia,1.0,Center,2401,Moskovskaia,Center
732,2-55111,999999,1875-10-02,Odessa,Goulier and Blanchard Machinery Co.,Ak. ob. mekhanicheskogo i mashino-stroitel'nogo zavoda Gul'e-Blanshar v Odesse,1,2,3500,,,500.0,9,500,500.0,1000.0,1000,0.0,,,1875,10,2,733.0,0.0,0,0,0,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MANUMETALS,0.0,0.0,0.0,0.0,0.0,1.0,4705,Khersonskaia,0.0,South,4705,Khersonskaia,South
733,2-55238,999999,1875-11-07,Saratov,Volga Brewing Co.,Ob. Volzhskogo pivovarennogo zavoda,1,1,2082,,,600.0,9,600,6000.0,100.0,100,0.0,,,1875,11,7,734.0,1.0,0,0,0,1,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUFOODS,0.0,0.0,1.0,0.0,0.0,1.0,3801,Saratovskaia,0.0,Volga-Ural,3801,Saratovskaia,Volga-Ural
734,2-55314,999999,1875-11-28,"Lozny, Litin di",istrict    Lozny Sugar Co.,Tov. Loznianskogo sveklosakharnogo zavoda,4,1,2063,,,180.0,9,180,360.0,500.0,500,0.0,,,1875,11,28,735.0,1.0,1,0,0,4,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUFOODS,0.0,1.0,0.0,0.0,0.0,1.0,3207,Podolskaia,0.0,South,3207,Podolskaia,South
735,2-55338,999999,1875-12-05,Warsaw,Warsaw Agricultural Machinery Co.,"Ak. ob. Varshavskoi fabriki mashin, zemledel'cheskikh orudii i chugunnykh izdelii",1,2,3523,3312.0,,400.0,9,400,4000.0,100.0,100,0.0,,,1875,12,5,736.0,0.0,0,0,0,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MANUMETALS,0.0,0.0,0.0,0.0,0.0,1.0,5101,Varshavskaia,0.0,Poland,5101,Varshavskaia,Poland
736,2-55339,999999,1875-12-05,"Lopatintsy, Iam","mpol dist. Podolia Mfg. Co. (textiles, wine, flour)",Tov. na paiakh Podol'sko-Rakhnianskikh zavodov,4,2,2200,2085.0,2041.0,200.0,9,200,800.0,250.0,250,0.0,,,1875,12,5,737.0,0.0,1,0,0,4,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUTEXTILES,0.0,0.0,0.0,0.0,0.0,1.0,3212,Podolskaia,0.0,South,3212,Podolskaia,South
737,2-55362,999999,1875-12-12,St. Petersburg,Russian Equine Insurance Co.,Pervoe Russkoe ob. strakhovaniia loshadei,1,1,6331,,,500.0,9,500,5000.0,100.0,100,0.0,,,1875,12,12,738.0,1.0,0,0,0,2,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,3701,Peterburgskaia,0.0,North,9600,.,Entire Empire
738,2-55363,999999,1875-12-12,Kiev,Kiev Safety Match Co.,Tov. dlia prigotovleniia Shvedskikh i drugikh spichek,4,1,3999,,,300.0,9,300,300.0,1000.0,1000,0.0,,,1875,12,12,739.0,1.0,1,0,0,4,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,MANUMISC,0.0,0.0,0.0,0.0,0.0,1.0,1601,Kievskaia,0.0,South,1601,Kievskaia,South
739,2-55393,999999,1875-12-19,Moscow,Schmidt Cement and Vegetable Oil Co.,Tov. Rizhskogo tsementnogo zavoda i masloboini K. Kh. Shmidta,4,2,3241,2076.0,,500.0,9,500,500.0,1000.0,1000,0.0,,,1875,12,19,740.0,0.0,0,0,0,4,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,MANUMINERAL,0.0,0.0,0.0,1.0,0.0,0.0,2401,Moskovskaia,1.0,Center,2101,Lifliandskaia,Baltic
740,2-55442,999999,1876-01-02,"Zagnitkovo, Ol'",'gopol d.  Zagnitkovo Sugar Co.,Tov. Zagnitskogo sveklosakharnogo zavoda,4,1,2063,,,400.0,9,400,400.0,1000.0,1000,0.0,,,1876,1,2,741.0,1.0,1,0,0,4,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUFOODS,0.0,1.0,0.0,0.0,0.0,1.0,3209,Podolskaia,0.0,South,3209,Podolskaia,South
741,2-55443,999999,1876-01-02,St. Petersburg,Durdin Brewing Co.,Tov. pivo- i medovarennogo zavoda Ivana Durdina,4,2,2082,,,1200.0,9,1200,1200.0,1000.0,1000,0.0,,,1876,1,2,742.0,0.0,0,0,0,5,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUFOODS,0.0,0.0,1.0,0.0,1.0,0.0,3701,Peterburgskaia,0.0,North,3701,Peterburgskaia,North
742,2-55532,999999,1876-01-30,St. Petersburg,Svir River Barge Co.,Tov. tsepnogo (tuernogo) parokhodstva po r. Sviri,4,1,4441,,,400.0,9,400,400.0,1000.0,1000,0.0,,,1876,1,30,743.0,1.0,0,0,0,4,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,3701,Peterburgskaia,0.0,North,9201,.,North
743,2-55545,999999,1876-02-04,Moscow [1885!,Donets Railroad,Ob. Donetskoi kamennougol'noi zheleznoi dorogi,1,1,4011,,,22807.0,1,28235,45613.0,125.0,155,2.0,,,1876,2,4,744.0,1.0,0,3,0,2,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2401,Moskovskaia,1.0,Center,1300,Ekaterinoslavskaia,South
744,2-55601,999999,1876-02-20,Chistopol,Chistopol Cotton Textile Co.,Tov. Chistopol'skikh bumagopriadil'noi i tkatskoi fabrik,4,2,2281,2211.0,,500.0,9,500,500.0,1000.0,1000,0.0,,,1876,2,20,745.0,0.0,0,0,0,2,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUTEXTILES,0.0,0.0,0.0,0.0,0.0,1.0,1411,Kazanskaia,0.0,Volga-Ural,1411,Kazanskaia,Volga-Ural
745,2-55753,999999,1876-04-02,Moscow,Kineshma Chemical Co.,Ak. ob. Kineshemskogo khimicheskogo zavoda,1,1,2800,,,300.0,9,300,600.0,500.0,500,0.0,,,1876,4,2,746.0,1.0,0,0,0,5,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MANUCHEMICALS,0.0,0.0,0.0,1.0,0.0,0.0,2401,Moskovskaia,1.0,Center,1806,Kostromskaia,Center
746,2-55817,999999,1876-04-23,St. Petersburg,Hydrotechnic Dredging Co.,"Tov. dlia proizvodstva rabot na vodianykh soobshcheniiakh i v portakh pod firoiu ""Gidrotekhnik""",4,1,1629,,,500.0,9,500,2000.0,250.0,250,0.0,,,1876,4,23,747.0,1.0,0,0,0,2,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Construction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,3701,Peterburgskaia,0.0,North,3700,Peterburgskaia,North
747,2-55818,999999,1876-04-23,"Ivankovo, Zhito",omir dist. Ivankovo Sugar Co. [HQ Kiev 1914!,Tov. Ivankovskogo sveklosakharnogo i rafinadnogo zavoda,4,1,2063,,,350.0,9,350,700.0,500.0,500,0.0,,,1876,4,23,748.0,1.0,1,0,0,4,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUFOODS,0.0,1.0,0.0,0.0,0.0,1.0,0801,Volynskaia,0.0,South,0801,Volynskaia,South
748,2-55823,999999,1876-04-23,St. Petersburg,Falcon Steamship Co.,"Ob. parokhodstva ""Sokol""",1,2,4441,,,300.0,9,300,3000.0,100.0,100,0.0,,,1876,4,23,749.0,0.0,0,3,0,1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Transportation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,3701,Peterburgskaia,0.0,North,9201,.,North
749,2-55907,999999,1876-05-07,St. Petersburg,Beckmann Distilling Co.,"Ob. vodochnogo zavoda ""Bekman i Ko.""",1,2,2085,,,600.0,9,600,6000.0,100.0,100,0.0,,,1876,5,7,750.0,0.0,0,0,0,2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUFOODS,0.0,0.0,0.0,0.0,1.0,0.0,3701,Peterburgskaia,0.0,North,3701,Peterburgskaia,North
750,2-55908,999999,1876-05-07,Moscow,Maliutin Mfg. Co. (cotton textiles),"Promyshlennoe i torgovoe tov. ""P. Maliutina synov'ia""",4,2,2281,2211.0,,8000.0,9,8000,1600.0,5000.0,5000,0.0,2403.0,,1876,5,7,751.0,0.0,0,0,0,5,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUTEXTILES,0.0,0.0,0.0,1.0,0.0,0.0,2401,Moskovskaia,1.0,Center,2402,Moskovskaia,Center
751,2-55909,999999,1876-05-07,Moscow,Sokolniki Sugar Co.,"Tov. rafinadnogo zavoda ""Sokol'niki""",4,1,2063,,,300.0,9,300,300.0,1000.0,1000,0.0,,,1876,5,7,752.0,1.0,0,0,0,4,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUFOODS,0.0,1.0,0.0,1.0,0.0,0.0,2401,Moskovskaia,1.0,Center,2401,Moskovskaia,Center
752,2-55910,999999,1876-05-07,Moscow [Kiev 19,914!       Shubin Sugar Co.,Tov. Nikolaevskogo sveklosakharnogo i rafinadnogo zavoda P. F. Shubina,4,2,2063,,,1500.0,9,1500,300.0,5000.0,5000,0.0,,,1876,5,7,753.0,0.0,0,0,0,4,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUFOODS,0.0,1.0,0.0,1.0,0.0,0.0,2401,Moskovskaia,1.0,Center,4813,Chernigovskaia,South
753,2-55911,999999,1876-05-07,"Vel. Zhetino, S","Sosnitsa d.Velikoe Zhitino Mfg. Co. (sugar, liquor, lumber,",Veliko-Zhitinskoe promyshlennoe i torgovoe tov.,4,2,2421,2085.0,2063.0,900.0,9,900,300.0,3000.0,3000,0.0,,,1876,5,7,754.0,0.0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manufacturing,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MANUWOOD,0.0,0.0,0.0,0.0,0.0,1.0,4813,Chernigovskaia,0.0,South,4813,Chernigovskaia,South
