"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","YEAR","ENDING","JUNE","1,","1860.","","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","HEMP.","","","","","","","","","46","47","48","",
"","","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","","","","",
"","","100","","","","","","","400","","6","","","","","","","","","","me","","","","","","25","1",
"","","200","","","","20","","","300","","60","","","","","","","","","","400","","","","","","130","2",
"","","120","","","","","","","400","","20","","","","","","","","","","330","","","","","","70 250","3",
"","","125","","","70.5","","","","600","","75","","","","","","","","","","","","","","","","35","4",
"","","75","","","","","","","300","","20","","","","","","","","","","","","","","","","","5",
"","","100","","","","","","","300","","25","","","","","","","","","","100","","","","","","60","6",
"","","75","","","","","","","400","","50","","","","","","","","","","300","","","","","","58","7",
"8","","100","","","","","","","1000","200","so","","","","","","","","","","100","","","","","","100","8",
"9","","150","","","","","","","600","","160","","","","","","","","","","","","","","","","80","9",
"10","","200","","","","15","","","600","Lov","75","","s","","","","","","","","","","","","","","so","10",
"11","","20","","","","","","","400","","15","","","","","","","","","","","","","","","","40","11",
"12","","100","","","","","","","600","","go","","","","","","","","","","","","","","","","60","12",
"13","","40","","","","","","","1000","","50","","","","","","","","","","","","","","","","40","13",
"14","15","75","","","15","","","","goo","","20","","","","","","","","","","","","","","40","","100","14",
"15","4","40","","","","10","","","300","","20","","","","","","","","","","","","","","60","","75","15",
"16","","75","","","","","","","400","150","15","","","","","","","","","","","","","","","","130","16",
"17","","100","","","","","","","500","","60","","","","","","","","","","","","","","","","50","17",
"18","","75","","","","","","","400","","30","","","","","","","","","","","","","","","","60","18",
"19","","100","","","","","","","300","","13","","","","","","","","","","","","","","","","28","19",
"20","","130","","","","","","","400","100","40","","","","","","","","","","","","","5","40.","","75","20",
"21","12","75","","","","","","","400","","40","","","","","","","","","","","","","","","","75","21",
"22","96","50","","","","","","","500","2","40","","","","","","","","","","","","","","","","go","22",
"23","","140","","","","40","","","100","","60","","3","","","","","","","","","","","","","","75","23",
"24","","25","","","","","","","110","","10","","","","","","","","","","","","","","","","","24",
"25","It","300","","","","","","","700","","152","","","","","","","","","","","","","","","","1.69","25",
"26","25","100","","","74","25","to","","2647","200","go","","4","","","","","","","","","","","","","","179","26",
"27","2","191","","","37","","","","1000","500","50","","","","","","","","","","","","","","","","109","27",
"28","","150","","","5","","","","200","","10","","","","","","","","","","","","","","","","","28",
"29","7","90","","","4","","","","400","","12","","","","","","","","","","","","","","","","25","29",
"30","20","250","","","","10","","","500","150","40","","","","","","","","","","","","","","50","","130","30",
"31","","100","","","","","","","500","","30","","","","","","","","","","","","","","","","75","31",
"32","","for","","","","40","","","150","","10","","","","","","","","","","","","100","","","",",40","32",
"33","6","75","","","","","","","150","","J","","","","","","","","","","","","","","","","25","33",
"34","g","100","","","","","","","200","","10 15.","","","","","","","","","","","","","","","","37","34",
"35","","yo","","","","","","","500","","IN","","","","","","","","","","","","","","","","sc","35",
"","36","200","","","","","","","250","","15","","","","","","","","","","","","","","","","60","36",
"","27","100","","","","","","","Loo","","15","","","","","","","","","","","","","","","","40","37",
"","38","75","","","6","","","","150","","","s","","","","","","","","","","","","","","","25","",
"","39","","40","","7","","","","200","","z","","","","","","","","","","","","","","","","36","",
"","","","","","","","","","","","","","","","","","","","","","","","","","","","10","",
"","","216/4261","","","323","165","10","","18461","1500","","1435","10","","","","","","","","1280","","100","5","200","","2804","",
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Confidence Scores % (Table Cell)
"28.12500000","39.72167969","27.53906250","41.82128906","40.69824219","43.21289063","45.65429688","48.43750000","49.87792969","51.80664063","47.82714844","47.72949219","43.11523438","21.04492188","26.95312500","26.02539063","41.47949219","39.74609375","11.71875000","43.72558594","43.89648438","45.97167969","39.62402344","50.53710938","41.62597656","43.31054688","35.86425781","88.81835938","49.87792969",
"23.05908203","32.54394531","22.57080078","34.27734375","33.34960938","35.42480469","37.42675781","39.69726563","40.89355469","42.45605469","39.18457031","39.13574219","35.32714844","17.24853516","22.08251953","21.33789063","33.98437500","32.56835938","9.60693359","35.83984375","35.96191406","37.67089844","32.47070313","41.43066406","34.13085938","35.49804688","29.39453125","88.81835938","40.89355469",
"49.87792969","70.41015625","48.82812500","74.16992188","72.16796875","76.61132813","80.95703125","85.88867188","88.47656250","91.84570313","84.76562500","84.61914063","76.41601563","37.30468750","47.77832031","46.16699219","73.53515625","70.45898438","20.77636719","77.53906250","77.83203125","81.49414063","70.21484375","89.64843750","73.82812500","76.75781250","63.62304688","88.81835938","88.47656250",
"41.96777344","59.27734375","41.08886719","62.40234375","60.69335938","64.50195313","68.11523438","72.26562500","74.41406250","77.29492188","71.33789063","71.24023438","64.30664063","31.39648438","40.20996094","38.84277344","61.86523438","59.32617188","17.48046875","65.23437500","65.47851563","68.55468750","59.08203125","75.43945313","62.10937500","64.59960938","53.51562500","76.51367188","74.41406250",
"42.33398438","59.81445313","41.45507813","62.93945313","61.23046875","65.03906250","68.75000000","72.90039063","75.09765625","77.97851563","71.97265625","71.87500000","64.89257813","31.68945313","40.57617188","39.18457031","62.40234375","59.81445313","17.63916016","65.82031250","66.06445313","69.18945313","59.61914063","76.12304688","62.64648438","65.18554688","54.00390625","77.19726563","75.09765625",
"43.96972656","62.06054688","43.04199219","65.38085938","63.57421875","67.52929688","71.38671875","75.68359375","77.97851563","80.95703125","74.75585938","74.60937500","67.38281250","32.88574219","42.11425781","40.69824219","64.79492188","62.10937500","18.31054688","68.35937500","68.60351563","71.82617188","61.91406250","79.00390625","65.08789063","67.67578125","56.05468750","80.17578125","77.97851563",
"37.96386719","53.61328125","37.15820313","56.44531250","54.88281250","58.30078125","61.62109375","65.33203125","67.33398438","69.87304688","64.50195313","64.40429688","58.15429688","28.39355469","36.35253906","35.13183594","55.95703125","53.61328125","15.80810547","58.98437500","59.22851563","62.01171875","53.46679688","68.21289063","56.15234375","58.39843750","48.41308594","69.18945313","67.33398438",
"45.48339844","64.20898438","44.53125000","67.62695313","65.82031250","69.87304688","73.82812500","78.32031250","80.66406250","83.74023438","77.34375000","77.19726563","69.72656250","34.03320313","43.57910156","42.08984375","67.04101563","64.25781250","18.94531250","70.70312500","70.99609375","74.31640625","64.06250000","81.73828125","67.33398438","70.01953125","58.00781250","82.91015625","80.66406250",
